organisat	governorate	district	numofchild	diseases	gaps	geo	ShelterType	population	protection	individual
SCI	Sulaymaniyah	Halabja	60	Chronic	Footware	35.31682388,45.66466246	Renting	8950	yes	30
acted	Dahuk	Dahuk	35	Chronic	Footware	36.77196715,43.31414128	Other	450	no	168
Mercy Corps	Kirkuk	Kirkuk	62	Chronic	Footware	35.42920523,44.35612556	Renting	787	no	234
Mercy Corps	Sulaymaniyah	Sulaymaniyah	35	Chronic	Footware	35.43350146,45.59462179	Camp	50	no	111
Mercy Corps	Sulaymaniyah	Sulaymaniyah	25	Chronic	Footware	35.5640691,45.4182765	Other	102	no	67
Mercy Corps	Kirkuk	Daquq	50	Chronic	Water	35.25304958,44.3946183	Other	653	Unknown	559
Mercy Corps	Kirkuk	Daquq	60	Chronic	Water	35.00970885,44.54087857	None Open Air	900	Unknown	103
Mercy Corps	Kirkuk	Daquq	60	Chronic	Water	35.14163288,44.44905826	Other	470	Unknown	264
acted	Dahuk	Dahuk	45	Chronic	Food	36.86207932,42.98387828	Other	340	no	96
SCI	Sulaymaniyah	Sulaymaniyah	45	Chronic	Food	35.36017906,45.86518499	Renting	917	Unknown	133
SCI	Sulaymaniyah	Sulaymaniyah	55	Flu	Food	35.36038513,45.8651917	Renting	2726	no	78
SCI	Sulaymaniyah	Sulaymaniyah	73	Chronic	Food	35.3602291,45.86528532	Renting	2726	Unknown	85
SCI	Sulaymaniyah	Sulaymaniyah	55	Chronic	Food	35.59002552,45.25989122	Renting	1004	yes	57
